name,fname,lname,email,phone,position,address,city,country,linkedin,activity
Adnan Hayat,Adnan,Hayat,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Energy Tech | Data Centres | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 3D Printing & Printing Services
Mammer Bennasri,Mammer,Bennasri,,,Ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services
Jamal Jessour,Jamal,Jessour,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Mohammed ESSAROUKH,Mohammed,ESSAROUKH,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Internet of Things (IOT) | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Artificial Intelligence | 5G & Telecommunications"
Soumia Lahmidi,Soumia,Lahmidi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Regulatory Technology | Networking & Infrastructure | Energy Tech | Education Tech | Cloud Services | Artificial Intelligence | AgriTech & FoodTech
Omar Hadek,Omar,Hadek,,,CEO,,,Morocco,,Technology | Space Tech | Software Services
Sanaa KARIM,Sanaa,KARIM,,,CEO,,,Morocco,,Technology | Software Services | Cloud Services | Big Data & Analytics | Artificial Intelligence
Hamza El Alaoui,Hamza,El Alaoui,,,CEO,,,Morocco,,Technology | Software Services | Smart Cities
Rachid Moulay EL Rhazi,Rachid,Moulay EL Rhazi,,,CEO,,,Morocco,https://www.linkedin.com/in/rachid-moulay-elrhazi/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B8eTDY3XQTdq%2BUabmBrGtOA%3D%3D,Regulatory Technology | Future Mobility & Transportation | Ecommerce | Digital Finance | Cyber security
Mohammed Bentaleb,Mohammed,Bentaleb,,,CEO,,,Morocco,,"Technology | Software Services | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Digital Finance | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence"
Badr Chachchati el merzouki,Badr,Chachchati el merzouki,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Software Services | Artificial Intelligence
Nabih Bahassi,Nabih,Bahassi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Smart Cities | Networking & Infrastructure | HealthTech | Digital Finance | Cloud Services | Artificial Intelligence | 5G & Telecommunications
Abdessamad riad el idrissi,Abdessamad,riad el idrissi,,,CEO,,,Morocco,,Technology | Software Services | Regulatory Technology | Quantum & High Performance Computing | Cyber security | Cloud Services | Artificial Intelligence
Faouzi Jouti,Faouzi,Jouti,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Younes Afares,Younes,Afares,,,CEO,,,Morocco,,Ecommerce | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Saad ALAOUI,Saad,ALAOUI,,,CEO,,,Morocco,,Technology | Education Tech | Data Centres | Cyber security | Blockchain | Big Data & Analytics
Anas Lahlali,Anas,Lahlali,,,CEO,,,Morocco,,Technology | Software Services | Smart Cities | HealthTech
Noureddine SAMIM,Noureddine,SAMIM,,,ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Networking & Infrastructure
Reda Allah Sibari,Reda,Allah Sibari,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Youssef Bencharhi,Youssef,Bencharhi,,,Ceo,,,Morocco,,Technology | Software Services | Networking & Infrastructure
Ahmed Laadraoui,Ahmed,Laadraoui,,,CEO,,,Morocco,,Technology | Ecommerce | Digital Finance | Artificial Intelligence
Salaheddine Mrani Alaoui,Salaheddine,Mrani Alaoui,,,CEO,,,Morocco,,Technology | Software Services | Smart Manufacturing
Souhail RAZIK,Souhail,RAZIK,,,CEO,,,Morocco,,Technology | Software Services | Digital Finance
Amine Elhachimy,Amine,Elhachimy,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Regulatory Technology | PropTech | Media, Marketing & Advertising Tech | HealthTech | Ecommerce | Digital Finance | AgriTech & FoodTech"
Saad Kemmou,Saad,Kemmou,,,CEO,,,Morocco,,"Technology | Media, Marketing & Advertising Tech | Digital Finance"
Idriss Elwadi,Idriss,Elwadi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Smart Cities | AR/VR/MR & Gaming | Ecommerce | Artificial Intelligence
Remi Le Bechec,Remi,Le Bechec,,,CEO,,,Morocco,,Technology | Software Services | Artificial Intelligence
Amine haimer,Amine,haimer,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Tarik Ben Touhami,Tarik,Ben Touhami,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Retail Tech | Ecommerce | Artificial Intelligence
Ali Boukhou,Ali,Boukhou,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing
Souhail Mhin,Souhail,Mhin,,,CEO,,,Morocco,,Software Services | PropTech | Artificial Intelligence
Nadir Benouhoud,Nadir,Benouhoud,,,CEO,,,Morocco,,Technology | Space Tech | Software Services
Soufiane Haddour,Soufiane,Haddour,,,ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Smart Manufacturing | Regulatory Technology
Ayoub Chaanoune,Ayoub,Chaanoune,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | PropTech | Networking & Infrastructure | Media, Marketing & Advertising Tech | HealthTech | Future Mobility & Transportation | Energy Tech | Education Tech | Consumer Tech, Smart Home & Smart Workplace | AgriTech & FoodTech"
Amine Fassi Fihri,Amine,Fassi Fihri,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Regulatory Technology | Artificial Intelligence
Ahmed OUBELAID,Ahmed,OUBELAID,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Retail Tech
Naim Abouhafs,Naim,Abouhafs,,,CEO,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Software Services | Smart Cities | Internet of Things (IOT) | Energy Tech | Cyber security | Cloud Services | Artificial Intelligence
Abdelali BOUTARBOUCH,Abdelali,BOUTARBOUCH,,,CEO,,,Morocco,,Data Centres | Cyber security | Cloud Services
Denis Marsault,Denis,Marsault,,,CEO,,,Morocco,,Technology | Retail Tech | Networking & Infrastructure | Ecommerce
Mohammed Amine bourguid,Mohammed,Amine bourguid,,,CEO,,,Morocco,,Technology | Smart Cities | Data Centres
Younes ibnabidiba,Younes,ibnabidiba,,,CEO,,,Morocco,,Technology | PropTech | Artificial Intelligence
Issam Toudli,Issam,Toudli,,,CEO,,,Morocco,,"Technology | Space Tech | Media, Marketing & Advertising Tech | Big Data & Analytics"
Chouaib Ghadfi,Chouaib,Ghadfi,,,CEO,,,Morocco,,Technology | Cyber security | Artificial Intelligence
Abderrahim ELBAHI,Abderrahim,ELBAHI,,,CEO,,,Morocco,,"Software Services | Media, Marketing & Advertising Tech | Ecommerce | Big Data & Analytics"
Mohamed Amine Mounzih,Mohamed,Amine Mounzih,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Artificial Intelligence
Dominique Maurice Olympio MENDY,Dominique,Maurice Olympio MENDY,,,Founder CEO Consultant IT,,,Morocco,,"Technology | Networking & Infrastructure | Media, Marketing & Advertising Tech"
Anas Raissi,Anas,Raissi,,,CEO & Consultant,,,Morocco,,Technology | Software Services | AR/VR/MR & Gaming
Aboubakr Alaoui Meterajji,Aboubakr,Alaoui Meterajji,,,Consultant,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Smart Cities | Quantum & High Performance Computing | AR/VR/MR & Gaming | Internet of Things (IOT) | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence | 5G & Telecommunications"
Saloua Karkri,Saloua,Karkri,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Artificial Intelligence
Zakaria El Masbahi,Zakaria,El Masbahi,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Jaouad semlali,Jaouad,semlali,,,Ceo,,,Morocco,,"Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Aymane Hitmi,Aymane,Hitmi,,,Ceo,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | PropTech | Networking & Infrastructure | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Gaming | Future Mobility & Transportation | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Consumer Tech, Smart Home & Smart Workplace | Blockchain | Big Data & Analytics | Artificial Intelligence"
Said MORCHID,Said,MORCHID,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Quantum & High Performance Computing | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Gaming | Future Mobility & Transportation | Energy Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 5G & Telecommunications | 3D Printing & Printing Services"
Chouaib Bentabet,Chouaib,Bentabet,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | Regulatory Technology | Quantum & High Performance Computing | PropTech | Networking & Infrastructure | Mobile Accessories & Peripherals | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Internet of Things (IOT) | HealthTech | Gaming | Future Mobility & Transportation | Energy Tech | Education Tech | Ecommerce | Digital Finance | Data Centres | Cyber security | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech"
Anas Houdna,Anas,Houdna,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services
Adnan Hayat,Adnan,Hayat,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Energy Tech | Data Centres | Blockchain | Big Data & Analytics | Artificial Intelligence | AgriTech & FoodTech | 3D Printing & Printing Services
Mammer Bennasri,Mammer,Bennasri,,,Ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services
Jamal Jessour,Jamal,Jessour,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Mohammed ESSAROUKH,Mohammed,ESSAROUKH,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Internet of Things (IOT) | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Blockchain | Artificial Intelligence | 5G & Telecommunications"
Soumia Lahmidi,Soumia,Lahmidi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Regulatory Technology | Networking & Infrastructure | Energy Tech | Education Tech | Cloud Services | Artificial Intelligence | AgriTech & FoodTech
Omar Hadek,Omar,Hadek,,,CEO,,,Morocco,,Technology | Space Tech | Software Services
Sanaa KARIM,Sanaa,KARIM,,,CEO,,,Morocco,,Technology | Software Services | Cloud Services | Big Data & Analytics | Artificial Intelligence
Hamza El Alaoui,Hamza,El Alaoui,,,CEO,,,Morocco,,Technology | Software Services | Smart Cities
Rachid Moulay EL Rhazi,Rachid,Moulay EL Rhazi,,,CEO,,,Morocco,https://www.linkedin.com/in/rachid-moulay-elrhazi/?lipi=urn%3Ali%3Apage%3Ad_flagship3_profile_view_base_contact_details%3B8eTDY3XQTdq%2BUabmBrGtOA%3D%3D,Regulatory Technology | Future Mobility & Transportation | Ecommerce | Digital Finance | Cyber security
Mohammed Bentaleb,Mohammed,Bentaleb,,,CEO,,,Morocco,,"Technology | Software Services | AR/VR/MR & Gaming | Media, Marketing & Advertising Tech | Digital Finance | Consumer Tech, Smart Home & Smart Workplace | Artificial Intelligence"
Badr Chachchati el merzouki,Badr,Chachchati el merzouki,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Software Services | Artificial Intelligence
Nabih Bahassi,Nabih,Bahassi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Smart Cities | Networking & Infrastructure | HealthTech | Digital Finance | Cloud Services | Artificial Intelligence | 5G & Telecommunications
Abdessamad riad el idrissi,Abdessamad,riad el idrissi,,,CEO,,,Morocco,,Technology | Software Services | Regulatory Technology | Quantum & High Performance Computing | Cyber security | Cloud Services | Artificial Intelligence
Faouzi Jouti,Faouzi,Jouti,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Younes Afares,Younes,Afares,,,CEO,,,Morocco,,Ecommerce | Cyber security | Cloud Services | Big Data & Analytics | Artificial Intelligence
Saad ALAOUI,Saad,ALAOUI,,,CEO,,,Morocco,,Technology | Education Tech | Data Centres | Cyber security | Blockchain | Big Data & Analytics
Anas Lahlali,Anas,Lahlali,,,CEO,,,Morocco,,Technology | Software Services | Smart Cities | HealthTech
Noureddine SAMIM,Noureddine,SAMIM,,,ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Networking & Infrastructure
Reda Allah Sibari,Reda,Allah Sibari,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Youssef Bencharhi,Youssef,Bencharhi,,,Ceo,,,Morocco,,Technology | Software Services | Networking & Infrastructure
Ahmed Laadraoui,Ahmed,Laadraoui,,,CEO,,,Morocco,,Technology | Ecommerce | Digital Finance | Artificial Intelligence
Salaheddine Mrani Alaoui,Salaheddine,Mrani Alaoui,,,CEO,,,Morocco,,Technology | Software Services | Smart Manufacturing
Souhail RAZIK,Souhail,RAZIK,,,CEO,,,Morocco,,Technology | Software Services | Digital Finance
Amine Elhachimy,Amine,Elhachimy,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Regulatory Technology | PropTech | Media, Marketing & Advertising Tech | HealthTech | Ecommerce | Digital Finance | AgriTech & FoodTech"
Saad Kemmou,Saad,Kemmou,,,CEO,,,Morocco,,"Technology | Media, Marketing & Advertising Tech | Digital Finance"
Idriss Elwadi,Idriss,Elwadi,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Smart Cities | AR/VR/MR & Gaming | Ecommerce | Artificial Intelligence
Remi Le Bechec,Remi,Le Bechec,,,CEO,,,Morocco,,Technology | Software Services | Artificial Intelligence
Amine haimer,Amine,haimer,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Tarik Ben Touhami,Tarik,Ben Touhami,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Retail Tech | Ecommerce | Artificial Intelligence
Ali Boukhou,Ali,Boukhou,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing
Souhail Mhin,Souhail,Mhin,,,CEO,,,Morocco,,Software Services | PropTech | Artificial Intelligence
Nadir Benouhoud,Nadir,Benouhoud,,,CEO,,,Morocco,,Technology | Space Tech | Software Services
Soufiane Haddour,Soufiane,Haddour,,,ceo,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Smart Manufacturing | Regulatory Technology
Ayoub Chaanoune,Ayoub,Chaanoune,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech | PropTech | Networking & Infrastructure | Media, Marketing & Advertising Tech | HealthTech | Future Mobility & Transportation | Energy Tech | Education Tech | Consumer Tech, Smart Home & Smart Workplace | AgriTech & FoodTech"
Amine Fassi Fihri,Amine,Fassi Fihri,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Regulatory Technology | Artificial Intelligence
Ahmed OUBELAID,Ahmed,OUBELAID,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Retail Tech
Naim Abouhafs,Naim,Abouhafs,,,CEO,,,Morocco,,Technology | Sustainability & Green Climate - Tech | Software Services | Smart Cities | Internet of Things (IOT) | Energy Tech | Cyber security | Cloud Services | Artificial Intelligence
Abdelali BOUTARBOUCH,Abdelali,BOUTARBOUCH,,,CEO,,,Morocco,,Data Centres | Cyber security | Cloud Services
Denis Marsault,Denis,Marsault,,,CEO,,,Morocco,,Technology | Retail Tech | Networking & Infrastructure | Ecommerce
Mohammed Amine bourguid,Mohammed,Amine bourguid,,,CEO,,,Morocco,,Technology | Smart Cities | Data Centres
Younes ibnabidiba,Younes,ibnabidiba,,,CEO,,,Morocco,,Technology | PropTech | Artificial Intelligence
Issam Toudli,Issam,Toudli,,,CEO,,,Morocco,,"Technology | Space Tech | Media, Marketing & Advertising Tech | Big Data & Analytics"
Chouaib Ghadfi,Chouaib,Ghadfi,,,CEO,,,Morocco,,Technology | Cyber security | Artificial Intelligence
Abderrahim ELBAHI,Abderrahim,ELBAHI,,,CEO,,,Morocco,,"Software Services | Media, Marketing & Advertising Tech | Ecommerce | Big Data & Analytics"
Mohamed Amine Mounzih,Mohamed,Amine Mounzih,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Artificial Intelligence
Abdellah EL KHAYATI,Abdellah,EL KHAYATI,,,CEO,,,Morocco,,Technology | Software Services | Artificial Intelligence
Alvarez Mouko,Alvarez,Mouko,,,CEO,,,Morocco,,Technology | Software Services | Digital Finance | Artificial Intelligence
Salim El Bouanani,Salim,El Bouanani,,,CEO,,,Morocco,,Technology | Software Services | Artificial Intelligence
Anass Amaterz,Anass,Amaterz,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Artificial Intelligence
Rida Bakit,Rida,Bakit,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Smart Manufacturing | Smart Cities | Media, Marketing & Advertising Tech"
Youssef Lamrani,Youssef,Lamrani,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Gaming
Badr Eddine Tadlaoui,Badr,Eddine Tadlaoui,,,CEO,,,Morocco,https://www.linkedin.com/in/badr-eddine-tadlaoui-267602134,Incubator/Accelerator/Investment | Unmanned Aerial Vehicles | Technology | Sustainability & Green Climate - Tech | Space Tech | Software Services | Smart Manufacturing | Smart Cities | Retail Tech
Mouad EL MOUDEN,Mouad,EL MOUDEN,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services | Networking & Infrastructure | Big Data & Analytics | Artificial Intelligence
Sabri MESSABHIA,Sabri,MESSABHIA,,,CEO,,,Morocco,,Technology | Software Services | Retail Tech | Digital Finance | Artificial Intelligence | AgriTech & FoodTech
Saad Moussafir,Saad,Moussafir,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Software Services
Sami Lahssioui,Sami,Lahssioui,,,FOUNDER & CEO,,,Morocco,,Incubator/Accelerator/Investment | Technology | Artificial Intelligence
Ali Khyatti,Ali,Khyatti,,,CEO,,,Morocco,,"Incubator/Accelerator/Investment | Technology | Software Services | Smart Manufacturing | Smart Cities | Regulatory Technology | Networking & Infrastructure | HealthTech | Data Centres | Creative Economy | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Artificial Intelligence"
Youssef GAANOUN,Youssef,GAANOUN,,,Founder & CEO,,,Morocco,,"Technology | Software Services | Smart Cities | Consumer Tech, Smart Home & Smart Workplace | Cloud Services | Big Data & Analytics | Artificial Intelligence"
John BENATOUIL,John,BENATOUIL,,,CEO,,,Morocco,,Incubator/Accelerator/Investment | Education Tech | Artificial Intelligence
Mouad Saoud,Mouad,Saoud,,,CEO,,,Morocco,,Software Services | Education Tech | Cloud Services | Artificial Intelligence
Mohammed BOUCHBOUK,Mohammed,BOUCHBOUK,,,CEO,,,Morocco,,Technology | Data Centres | Cloud Services | Artificial Intelligence | 3D Printing & Printing Services
Muath Ouzzaouit,Muath,Ouzzaouit,,,CEO,,,Morocco,https://www.linkedin.com/in/muath-o,Technology | Cyber security | Cloud Services
Yahya Amziane,Yahya,Amziane,,,CEO,,,Morocco,,Technology | Smart Manufacturing | Big Data & Analytics
Ibtissam RAHMOUNI,Ibtissam,RAHMOUNI,,,CEO,,,Morocco,,Software Services | HealthTech | Artificial Intelligence
Issam EL OUAKOUAK,Issam,EL OUAKOUAK,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Issam EL OUAKOUAK,Issam,EL OUAKOUAK,,,CEO,,,Morocco,,Job Title: CEO | Industry: Technology | Company Type: Limited Liability Company | Country: Morocco | Partial match - Role Compatibility: Similar role category: CEO ↔ CEO
Ibrahim Bekhakh,Ibrahim,Bekhakh,,,CEO,,,Morocco,,Technology | Smart Cities | Artificial Intelligence
Mehdi Agouzal,Mehdi,Agouzal,,,CEO,,,Morocco,,Internet of Things (IOT) | Future Mobility & Transportation | Artificial Intelligence | 5G & Telecommunications
Naji RACHID,Naji,RACHID,,,CEO,,,Morocco,,"Technology | Sustainability & Green Climate - Tech | Space Tech | Smart Cities | Networking & Infrastructure | Media, Marketing & Advertising Tech | Internet of Things (IOT) | Energy Tech | Cyber security | Artificial Intelligence | 5G & Telecommunications"
